x;y;comment_class
37,612416;55,777454;-1
37,612416;55,777454;-1
37,603298;55,742108;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,558957;55,723399;-1
37,558957;55,723399;-1
37,565767;55,734567;-1
37,588853;55,78932;-1
37,55964;55,768831;-1
37,558616;55,723972;-1
37,558023;55,723339;-1
37,55752;55,723835;-1
37,620177;55,771145;-1
37,620177;55,771145;-1
37,698142;55,774679;-1
37,708015;55,772907;-1
37,662461;55,732185;-1
37,65973;55,736235;-1
37,558957;55,723399;-1
37,62819;55,7684;-1
37,628424;55,768881;-1
37,588916;55,741982;-1
37,588916;55,741982;-1
37,588916;55,741982;-1
37,590183;55,741607;-1
37,588916;55,741982;1
37,580256;55,738982;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,623645;55,722614;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;1
37,558526;55,728758;1
37,566431;55,731794;1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,580104;55,740274;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
37,566431;55,731794;-1
37,589311;55,734273;-1
37,558526;55,728758;-1
